#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
4039.377273,800,1967.767689
5438.831996,800,1968.443576
5680.360463,800,1973.120091
6145.68401,800,1973.779937
6166.973406,800,1974.444863
6282.67796,800,1979.853487
5088.11046,800,1980.513916
-5085.536646,800,1984.917586
5830.114753,800,1985.547249
6334.703526,800,1986.18276
5799.71393,800,1990.730387
4507.983678,800,1991.381053
4751.827519,800,1995.990183
5752.650963,800,1996.619892
6255.71779,800,1997.253411
-399251.570145,800,2001.814129
5536.826146,800,2002.441432
5705.811578,800,2006.972889
5875.616227,800,2007.614911
5756.34371,800,2008.259007
4386.175645,800,2012.786206
5875.046843,800,2013.41191
-5488.532412,800,2014.054914
5808.362391,800,2018.575433
6137.523313,800,2019.218058
6003.938807,800,2023.748815
6302.459677,800,2024.382295
6358.086097,800,2025.022482
6270.143171,800,2029.607765
4379.03664,800,2030.261355
5800.810113,800,2034.806996
5994.159065,800,2035.443449
5908.293017,800,2036.090174
6190.284702,800,2040.612068
-4600.781794,800,2041.28505
-4072.167726,800,2045.853237
6274.953766,800,2046.486379
5667.987008,800,2047.111847
6356.053249,800,2051.624246
4432.756292,800,2052.351132
4858.820691,800,2057.014146
4533.928535,800,2057.823893
5648.932502,800,2058.516469
5933.629156,800,2063.413795
141.816089,800,2064.084706
6100.360896,800,2064.857526
5115.949081,800,2069.576131
6223.083182,800,2070.215861
5589.822712,800,2074.962178
2562.16231,800,2075.592657
5116.666819,800,2076.214064
5392.311713,800,2080.897504
5849.660161,800,2081.533487
6127.065859,800,2086.27808
5149.822606,800,2086.911484
6185.594966,800,2087.526701
-4199.214509,800,2092.320399
6362.933168,800,2092.947512
5586.362472,800,2097.534715
5401.65712,800,2098.258677
2458.443957,800,2098.899294
-410.466197,800,2103.463391
4604.189547,800,2104.113376
6120.535066,800,2104.815253
6204.687015,800,2109.355446
3089.014606,800,2110.020977
5855.498531,800,2114.72313
5786.387009,800,2115.471674
4875.485169,800,2116.113184
4635.820172,800,2120.060842
4038.02189,800,2120.750919
4912.870486,800,2125.053054
6348.35038,800,2125.704195
-93848.898527,800,2126.39351
4577.855412,800,2130.282614
5910.904879,800,2131.030521
4475.085981,800,2135.203174
4510.596467,800,2135.891881
6188.977519,800,2136.733491
-42498.047924,800,2140.756692
6116.015322,800,2141.527797
5385.322626,800,2146.074702
5438.892551,800,2146.795939
4794.145397,800,2147.46414
6262.710522,800,2152.014158
5959.682475,800,2152.655246
3356.294355,800,2153.315347
5662.742228,800,2157.410885
5963.271154,800,2158.111064
1415.393391,800,2162.537342
-4913.151428,800,2163.212721
5994.484533,800,2163.856912
5604.359765,800,2168.622543
-1362.154095,800,2169.254505
4694.967463,800,2173.470013
5537.182435,800,2174.089857
5641.400894,800,2174.722926
-1148.964331,800,2179.32431
5543.256052,800,2179.945683
5117.916749,800,2184.640705
6267.395588,800,2185.251725
5680.77043,800,2185.868222
5668.3738,800,2190.471526
3568.142893,800,2191.105097
6220.632532,800,2195.686172
5508.000516,800,2196.346087
693.347763,800,2196.97214
5435.774276,800,2201.531422
5216.937789,800,2202.165894
5506.141496,800,2202.85035
4768.313145,800,2207.427286
5149.878797,800,2208.050956
6166.32585,800,2212.661083
5520.232868,800,2213.281194
